index,ID,text
42,1458688154823704577,RT @sanchezcastejon: Avanzamos y marcamos un nuevo hito: somos el primer país en acordar con la @EU_Commission las Disposiciones Operativas…
43,1458687837822500865,"RT @GonBernardos: El gobierno ha firmado con la Comisión Europea una rebaja de las pensiones al ampliar el período de cálculo, previsibleme…"
44,1458687741689008130,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
45,1458687373546606593,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
46,1458687209180176385,"RT @ElMundoEspana: La Comisión Europea investigará la gestión de la vicepresidenta valenciana, Mónica Oltra, por los casos de abusos a meno…"
47,1458686983681847299,RT @sanchezcastejon: Avanzamos y marcamos un nuevo hito: somos el primer país en acordar con la @EU_Commission las Disposiciones Operativas…
48,1458686732401102849,"RT @GonBernardos: El gobierno ha firmado con la Comisión Europea una rebaja de las pensiones al ampliar el período de cálculo, previsibleme…"
49,1458686635709763585,"RT @IdafeMartin: Después d los 9.000 mill d julio, está todo listo para recibir otros 10.000 mill del nuevo fondo europeo gracias a ese pla…"
50,1458686544764710912,La falta de transparencia en los planes de los hombres de negro y sus compromisos con los gobiernos de este reino s… https://t.co/tzIlisebA7
51,1458685918542499843,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
52,1458685892101562368,RT @Suanzes: El Tribunal de Justicia de la UE desestima el recurso de Google y mantiene la multa de 2.400 millones de euros que le impuso l…
53,1458685645564657670,"RT @Pableraso: La Comisión Europea investigará a @monicaoltra  por los casos de abusos a menores
 
Ya que aquí los “transparentes” del #Bot…"
54,1458685442111459331,RT @IdafeMartin: La Comisión Europea lleva años pidiendo a España que reduzca la temporalidad.
55,1458685400495632387,RT @iellakuria: Ya era hora. La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados  https://t.co/…
